actual_identity_bytes,actual_identity_compact_message_bits,actual_identity_compact_message_bytes,availability,bits_per_zq,canonical_hash_encoding_bytes,element_count,element_kind,family,gaussian_samples,h1,id_mask,item,m,mac_a,mac_b,mathematical_ideal_bits,mathematical_ideal_bytes,matrix_multiply,matrix_vector,mod2,n,network_packets,network_rounds,network_wire_encoding_defined,note,numpy_reference_bytes,paper_compact_message_bits,paper_compact_message_bytes,paper_identity_bits,phase,profile,q,scalar_multiply,section,session_kdf,signal_s,transmitted_fields,vector_add_sub,xor
,,,,,,,,audited,3,0,0,,,0,0,,,0,2,0,,,,,,,,,,entity_key_generation,audited_preserve_keylen,,2,operations,0,0,,2,0
,,,,,,,,audited,0,1,0,,,0,0,,,0,1,0,,,,,,,,,,kgc_key_generation,audited_preserve_keylen,,0,operations,0,0,,1,0
,,,,,,,,audited,0,1,0,,,0,0,,,0,2,0,,,,,,,,,,entity_verify_and_assemble,audited_preserve_keylen,,1,operations,0,0,,3,0
,,,,,,,,audited,3,1,0,,,1,0,,,1,1,1,,,,,,,,,,alice_create,audited_preserve_keylen,,2,operations,0,1,,2,0
,,,,,,,,audited,2,0,0,,,1,1,,,1,1,1,,,,,,,,,,bob_verify_and_reply,audited_preserve_keylen,,1,operations,0,0,,1,0
,,,,,,,,audited,1,0,1,,,0,1,,,0,1,1,,,,,,,,,,alice_verify_and_finish,audited_preserve_keylen,,1,operations,1,1,,1,1
,,,,,,,,audited,0,1,1,,,0,0,,,0,1,1,,,,,,,,,,bob_finish,audited_preserve_keylen,,0,operations,1,0,,0,1
,,,,,,,,audited,6,2,2,,,2,2,,,2,4,4,,,,,,,,,,full_handshake,audited_preserve_keylen,,4,operations,2,2,,4,2
,,,,,,,,audited,0,0,0,,,0,0,,,0,0,0,,,,,,,,,,setup,audited_preserve_dimension,,0,operations,0,0,,0,0
,,,,,,,,audited,3,0,0,,,0,0,,,0,2,0,,,,,,,,,,entity_key_generation,audited_preserve_dimension,,2,operations,0,0,,2,0
,,,,,,,,audited,0,1,0,,,0,0,,,0,1,0,,,,,,,,,,kgc_key_generation,audited_preserve_dimension,,0,operations,0,0,,1,0
,,,,,,,,audited,0,1,0,,,0,0,,,0,2,0,,,,,,,,,,entity_verify_and_assemble,audited_preserve_dimension,,1,operations,0,0,,3,0
,,,,,,,,audited,3,1,0,,,1,0,,,1,1,1,,,,,,,,,,alice_create,audited_preserve_dimension,,2,operations,0,1,,2,0
,,,,,,,,audited,2,0,0,,,1,1,,,1,1,1,,,,,,,,,,bob_verify_and_reply,audited_preserve_dimension,,1,operations,0,0,,1,0
,,,,,,,,audited,1,0,1,,,0,1,,,0,1,1,,,,,,,,,,alice_verify_and_finish,audited_preserve_dimension,,1,operations,1,1,,1,1
,,,,,,,,audited,0,1,1,,,0,0,,,0,1,1,,,,,,,,,,bob_finish,audited_preserve_dimension,,0,operations,1,0,,0,1
,,,,,,,,audited,6,2,2,,,2,2,,,2,4,4,,,,,,,,,,full_handshake,audited_preserve_dimension,,4,operations,2,2,,4,2
