panel,scheme,entities,value,unit,formula_id,evidence_class,status
rounds,LCLA-AKA,20,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,20,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,20,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],22,24,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],22,70,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],22,90368,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],22,24,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],22,71,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],22,141064,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],22,24,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],22,71,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],22,180832,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,22,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,22,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,22,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],24,26,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],24,76,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],24,98560,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],24,26,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],24,77,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],24,153864,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],24,26,rounds,F5-other-rounds,paper_reported_reference,reconstructed
